refereeId;name;bio;image
ref1;André Mörgeli;Marktverantwortlicher und Partner;
ref2;Dominik Eggimann;Leiter Business Unit Integration & System Services;
ref3;Domeinic Fiorante;Leiter Geschäftsfeld Finance I;
ref4;Fabio Mazzarella;Leiter Geschäftsfeld HCM und Partner;
ref5;Werner Schwarz;Senior Entwickler;
ref6;Corinne Wyssmüller;SAP Beraterin;
ref7;Gianni Solomita;Leiter Business Unit Logistics;
ref8;Thomas Bula;Leiter Geschäftsfeld Business Intelligence und Partner;
ref9;Sandro Mürner;SAP Berater;
ref10;Philipp Knus;SAP Berater;
